Tick,TrainID,X,Y,Direction,State
0,0,3,1,1,1
1,0,4,1,1,1
2,0,5,1,1,1
3,0,6,1,1,1
3,1,3,4,1,1
4,0,7,1,1,1
4,1,4,4,1,1
5,0,8,1,1,1
5,1,5,4,1,1
6,0,9,1,1,1
6,1,6,4,1,1
6,2,3,7,1,1
7,0,10,1,1,1
7,1,7,4,1,1
7,2,4,7,1,1
8,0,11,1,1,1
8,1,8,4,1,1
8,2,5,7,1,1
9,0,12,1,1,1
9,1,9,4,1,1
9,2,6,7,1,1
9,3,3,10,1,1
10,0,13,1,1,1
10,1,10,4,1,1
10,2,7,7,1,1
10,3,4,10,1,1
11,0,14,1,1,1
11,1,11,4,1,1
11,2,8,7,1,1
11,3,5,10,1,1
12,0,15,1,1,1
12,1,12,4,1,1
12,2,9,7,1,1
12,3,6,10,1,1
13,0,16,1,1,1
13,1,13,4,1,1
13,2,10,7,1,1
13,3,7,10,1,1
14,0,17,1,1,1
14,1,14,4,1,1
14,2,11,7,1,1
14,3,8,10,1,1
15,0,18,1,1,1
15,1,15,4,1,1
15,2,12,7,1,1
15,3,9,10,1,1
16,0,19,1,1,1
16,1,16,4,1,1
16,2,13,7,1,1
16,3,10,10,1,1
17,0,20,1,1,1
17,1,17,4,1,1
17,2,14,7,1,1
17,3,11,10,1,1
18,0,21,1,1,1
18,1,18,4,1,1
18,2,15,7,1,1
18,3,12,10,1,1
19,0,22,1,1,1
19,1,19,4,1,1
19,2,16,7,1,1
19,3,13,10,1,1
20,0,23,1,1,1
20,1,20,4,1,1
20,2,17,7,1,1
20,3,14,10,1,1
21,0,24,1,1,1
21,1,21,4,1,1
21,2,18,7,1,1
21,3,15,10,1,1
22,0,25,1,1,1
22,1,22,4,1,1
22,2,19,7,1,1
22,3,16,10,1,1
23,1,23,4,1,1
23,2,20,7,1,1
23,3,17,10,1,1
24,1,24,4,1,1
24,2,21,7,1,1
24,3,18,10,1,1
25,1,25,4,1,1
25,2,22,7,1,1
25,3,19,10,1,1
26,2,23,7,1,1
26,3,20,10,1,1
27,2,24,7,1,1
27,3,21,10,1,1
28,2,25,7,1,1
28,3,22,10,1,1
29,3,23,10,1,1
30,3,24,10,1,1
31,3,25,10,1,1
